epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,1638.02,0.47157,0.65155,1.12265,0.92592,0,0.7727,0.47537,0.51423,0.4501,0.77061,0.4738,0.5124,0.4583,0.52323,0.88878,1.24156,0.97942,0,0.00081403,0.00081403,0.00081403
29,1699.01,0.48262,0.62885,1.13879,0.92901,0,0.49553,0.62047,0.56347,0.49404,0.49553,0.62047,0.55927,0.49909,0.50583,0.8918,1.15007,0.95854,0,0.000803031,0.000803031,0.000803031
30,1760.56,0.49924,0.62438,1.16208,0.9343,0,0.38905,0.51831,0.4714,0.41323,0.40095,0.51576,0.47091,0.42221,0.51966,0.86907,1.30745,0.95908,0,0.000792032,0.000792032,0.000792032
31,1821.72,0.46489,0.57007,1.04884,0.92053,0,0.41857,0.57085,0.50266,0.45832,0.4215,0.57486,0.50435,0.45905,0.46262,0.79443,1.19024,0.93171,0,0.000781033,0.000781033,0.000781033
32,1882.49,0.45742,0.61504,1.08349,0.92162,0,0.43623,0.55406,0.49512,0.44982,0.43798,0.55906,0.49604,0.44938,0.47718,0.8114,1.24519,0.95535,0,0.000770034,0.000770034,0.000770034
33,1945.63,0.43477,0.60983,1.04895,0.91365,0,0.28963,0.59027,0.42566,0.39388,0.29294,0.59836,0.43029,0.39697,0.47091,0.91318,1.42682,0.94075,0,0.000759035,0.000759035,0.000759035
34,2006.48,0.45524,0.62362,1.08286,0.91528,0,0.3236,0.63003,0.47315,0.42074,0.32595,0.62711,0.47353,0.419,0.48022,0.83931,1.27563,0.94742,0,0.000748036,0.000748036,0.000748036
35,2067.84,0.43905,0.54781,1.0517,0.90205,0,0.41852,0.54713,0.50958,0.44798,0.39369,0.5646,0.50447,0.45141,0.49355,0.8059,1.31843,0.95202,0,0.000737037,0.000737037,0.000737037
36,2128.98,0.45994,0.58905,1.07312,0.9133,0,0.50767,0.57917,0.5597,0.49495,0.50767,0.57917,0.55671,0.49362,0.46856,0.87398,1.18488,0.95873,0,0.000726038,0.000726038,0.000726038
37,2190.23,0.46441,0.61558,1.05773,0.91773,0,0.38114,0.65864,0.498,0.45665,0.38127,0.65655,0.49705,0.44991,0.43054,0.80902,1.20836,0.92385,0,0.00071504,0.00071504,0.00071504
38,2252.58,0.42173,0.55507,1.00184,0.90086,0,0.45982,0.61467,0.54501,0.49186,0.45957,0.61724,0.54258,0.49356,0.45288,0.76402,1.14517,0.94236,0,0.000704041,0.000704041,0.000704041
39,2313.94,0.42936,0.54401,0.97265,0.90544,0,0.47048,0.52847,0.50483,0.4545,0.334,0.67742,0.49957,0.45524,0.46156,0.79724,1.23429,0.95042,0,0.000693042,0.000693042,0.000693042
40,2374.32,0.41503,0.51062,0.95355,0.90544,0,0.43199,0.58885,0.51381,0.45371,0.43499,0.59292,0.5135,0.45401,0.46308,0.76806,1.23335,0.94623,0,0.000682043,0.000682043,0.000682043
41,2435.29,0.43712,0.564,1.02968,0.90382,0,0.34431,0.57206,0.494,0.44283,0.3439,0.57011,0.49379,0.44602,0.46264,0.7948,1.31109,0.94469,0,0.000671044,0.000671044,0.000671044
42,2495.63,0.40269,0.52298,0.98292,0.89066,0,0.35574,0.57738,0.50051,0.45452,0.36957,0.57798,0.49903,0.45585,0.46666,0.75363,1.43934,0.95325,0,0.000660045,0.000660045,0.000660045
43,2557.28,0.41054,0.49965,0.97859,0.88566,0,0.55103,0.54062,0.5225,0.4607,0.5535,0.54149,0.51631,0.46415,0.47026,0.82918,1.32116,0.96144,0,0.000649046,0.000649046,0.000649046
44,2618.02,0.40559,0.50548,0.97999,0.90569,0,0.38747,0.57164,0.49487,0.44972,0.38488,0.57444,0.4932,0.45058,0.44859,0.74104,1.19872,0.93657,0,0.000638047,0.000638047,0.000638047
45,2679.21,0.40754,0.47467,0.95554,0.90227,0,0.45009,0.51459,0.47003,0.42436,0.46215,0.49708,0.46529,0.42118,0.44795,0.78565,1.20546,0.92766,0,0.000627048,0.000627048,0.000627048
46,2741.15,0.40136,0.50066,0.97081,0.89364,0,0.42973,0.59126,0.51177,0.45346,0.42286,0.58,0.50408,0.45615,0.45303,0.81771,1.21926,0.93091,0,0.000616049,0.000616049,0.000616049
47,2802.49,0.39892,0.48953,0.92417,0.88943,0,0.52822,0.58798,0.54672,0.4929,0.52587,0.58647,0.54218,0.49104,0.44502,0.73594,1.15428,0.93863,0,0.000605051,0.000605051,0.000605051
48,2863.63,0.40678,0.49624,0.92422,0.90123,0,0.4189,0.53995,0.46498,0.4168,0.41916,0.54138,0.46432,0.41242,0.43587,0.84715,1.28545,0.92603,0,0.000594052,0.000594052,0.000594052
49,2925.34,0.40274,0.49518,0.88275,0.89126,0,0.53169,0.47332,0.46638,0.42888,0.53376,0.4764,0.46852,0.4311,0.43725,0.77754,1.33721,0.93099,0,0.000583053,0.000583053,0.000583053
